BPA ID,Collection Site,Country,State,Sample date,Latitude,Longitude,Elevation,Current Land Use,Ecological Zone,Vegetation Type,Australian Soil Type Classification,FAO Soil Type Classification,Vegatation Total Cover,Dominant Trees,Site Slope,Slope Aspect,Profile Position,Drainage,Environment Event,Fire History,Fire Intensity,Last Change in Land Use,Immediate previous Land Use,Crop Rotation 1,Crop Rotation 2,Crop Rotation 3,Crop Rotation 4,Crop Rotation 5,Agrochemical Additions,Tillage,Site Comments,Horizon,Moisture,Colour,Gravel,Texture,Course Sand,Fine Sand,Sand,Silt,Clay,Ammonium Nitrogen,Nitrate Nitrogen,Phosphoros Colwell,Potassium Colwell,Sulphur,Organic Carbon,Conductivity,CaCl2 pH,H2O pH,DTPA Cu,DTPA Fe,DTPA Mn,DTPA Zn,Exc Al,Exc Ca,Exc Mg,Exc K,Exc Na,Boron Hot CaCl2,Total N,Total C
102.100.100.7031,Woomera,,,2011-10-30,-31.24283403,136.7403888,191,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,12,0.0,3.0,19.87,28.0,47.87,21.07,31.06,4.0,12.0,21.0,598.0,19.7,0.86,2.349,7.6,8.1,1.3,50.09,12.29,0.65,0.0001,17.78,4.83,1.53,10.11,2.65,,
102.100.100.7032,Woomera,,,2011-10-30,-31.24283403,136.7403888,191,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,3.0,16.33,25.15,41.48,23.23,35.29,2.0,9.0,13.0,312.0,73.5,0.45,3.8,7.9,8.3,2.07,18.03,9.07,0.37,0.0001,22.9,7.5,0.8,22.74,13.52,,
102.100.100.7033,Lake Hart,,,2011-10-30,-31.2273833333,136.40455,103,Lake - saline,Arid,Other,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,4,0.0,2.0,33.63,44.86,78.49,2.88,18.63,12.0,1.0,15.0,281.0,3700.2,0.83,28.58,8.0,8.1,0.96,27.61,1.09,0.57,0.0001,9.99,11.78,0.7,113.01,0.6,,
102.100.100.7034,Lake Hart,,,2011-10-30,-31.2273833333,136.40455,103,Lake - saline,Arid,Other,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,15,0.0,2.5,29.98,38.0,67.98,4.58,27.43,1.0,2.0,31.0,363.0,4473.8,0.82,24.92,7.3,7.5,1.92,43.57,3.3,0.49,0.0001,11.69,13.9,0.7,92.26,0.63,,
102.100.100.7035,Coober Pedy,,,2011-10-30,-29.0020333333,134.685716667,236,Residual native cover,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,22,0.0,2.5,8.4,54.51,62.91,19.55,17.54,0.0001,0.0001,9.0,474.0,4.2,0.29,0.064,6.6,7.4,0.97,14.39,19.19,0.28,0.0001,8.99,3.36,1.21,1.68,0.81,,
102.100.100.7036,Coober Pedy,,,2011-10-30,-29.0020333333,134.685716667,236,Residual native cover,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,22,0.0,2.5,30.03,29.37,59.4,22.36,18.24,1.0,10.0,5.0,483.0,24.1,0.86,0.605,7.1,7.7,1.13,11.53,5.08,0.21,0.0001,20.2,6.4,1.24,6.08,2.73,,
102.100.100.7037,Marla,,,2011-10-31,-27.2399333333,133.557233333,340,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,12,0.0,2.0,63.83,24.34,88.16,3.96,7.87,0.0001,3.0,8.0,156.0,3.3,0.52,0.022,6.0,6.8,0.48,10.52,7.96,0.41,0.0001,1.67,0.93,0.38,0.08,0.25,,
102.100.100.7038,Marla,,,2011-10-31,-27.2399333333,133.557233333,340,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,3.0,76.19,10.37,86.57,6.22,7.21,0.0001,1.0,3.0,331.0,7.3,0.35,0.186,7.6,8.5,1.09,11.6,3.71,0.14,0.0001,9.24,4.65,0.85,1.99,0.9,,
102.100.100.7039,Ghan,,,2011-10-31,-25.7096333333,133.24855,501,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,11,0.0,2.0,63.34,26.71,90.05,3.0,6.95,1.0,8.0,8.0,198.0,3.0,0.25,0.032,6.0,6.7,0.47,10.92,11.62,0.5,0.0001,1.89,0.67,0.51,0.03,0.27,,
102.100.100.7040,Ghan,,,2011-10-31,-25.7096333333,133.24855,501,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,2.0,65.64,24.51,90.15,0.99,8.86,0.0001,3.0,3.0,221.0,3.5,0.13,0.116,6.6,7.2,0.77,9.58,5.04,0.23,0.0001,2.14,0.8,0.57,0.4,0.32,,
102.100.100.7041,Tanami,,,2011-10-31,-22.91015,132.6421,561,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,1,0.0,2.0,62.08,21.92,84.0,5.02,10.99,3.0,8.0,4.0,258.0,3.2,0.36,0.046,6.7,7.4,0.48,10.82,6.74,0.14,0.0001,3.41,2.72,0.66,0.06,0.31,,
102.100.100.7042,Tanami,,,2011-10-31,-22.91015,132.6421,561,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,7,0.0,2.5,51.63,21.67,73.3,6.93,19.76,0.0001,3.0,2.0,410.0,10.0,0.2,0.091,7.0,8.0,0.69,13.17,4.35,0.04,0.0001,4.06,3.65,1.05,0.84,0.47,,
102.100.100.7043,WestMacdonnell,,,2011-11-01,-23.2524166667,132.640366667,588,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,7,0.0,2.0,58.35,25.44,83.79,3.05,13.16,0.0001,4.0,28.0,256.0,2.8,0.62,0.02,6.1,7.1,0.63,15.01,7.14,0.78,0.0001,4.25,1.39,0.6,0.03,0.22,,
102.100.100.7044,WestMacdonnell,,,2011-11-01,-23.2524166667,132.640366667,588,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,3.0,72.49,11.77,84.26,2.96,12.78,1.0,2.0,9.0,297.0,2.8,0.52,0.028,6.7,7.6,0.59,12.82,4.84,0.08,0.0001,7.65,2.13,0.75,0.05,0.26,,
